last_price,ask,ask_size,bid,bid_size
907.31,907.31,21.53184078,907.3,7.44783534
907.31,907.31,19.81818863,907.3,9.19483534
907.31,907.31,19.73223179,907.3,21.41580434
907.31,907.31,8.18823179,907.3,22.52180434
907.31,907.31,7.93823179,907.3,23.17580434
907.31,907.31,7.702621,907.3,23.17580434
907.31,907.31,5.00959942,907.3,23.17580434
907.31,907.31,5.00959942,907.3,23.17580434
907.31,907.31,5.00959942,907.3,18.32783534
907.31,907.31,5.00959942,907.3,18.12
907.31,907.31,31.73059813,907.3,9.12
907.31,907.31,31.73059813,907.3,9.12
907.31,907.31,31.67059813,907.3,9.12
907.31,907.31,31.67059813,907.3,9.12
907.31,907.31,31.25235313,907.3,9.12
907.31,907.31,31.25235313,907.3,9.12
907.31,907.31,31.25235313,907.3,9.12
907.31,907.31,23.26235313,907.3,22.603211
907.31,907.31,23.26235313,907.3,22.65153683
907.31,907.31,43.26235313,907.3,22.65153683
907.31,907.31,43.26235313,907.3,22.65153683
907.31,907.31,43.76526633,907.3,22.65153683
907.3,907.31,43.76526633,907.3,26.509211
907.3,907.31,43.76526633,907.3,26.509211
907.3,907.31,43.76526633,907.3,26.509211
907.31,907.31,37.97908104,907.3,26.509211
907.31,907.31,37.97908104,907.3,26.509211
907.31,907.31,37.97908104,907.3,26.509211
907.31,907.31,45.96908104,907.3,26.509211
907.31,907.31,37.97908104,907.3,26.509211
907.31,907.31,37.72908104,907.3,26.509211
907.31,907.31,37.72908104,907.3,26.509211
907.31,907.31,37.71093967,907.3,26.509211
907.31,907.31,37.71093967,907.3,26.509211
907.31,907.31,31.10851204,907.3,26.509211
907.31,907.31,31.10851204,907.3,26.509211
907.31,907.31,30.77494859,907.3,26.509211
907.31,907.31,30.77494859,907.3,26.509211
907.31,907.31,38.76494859,907.3,24.749211
907.31,907.31,30.72494859,907.3,8.7
907.31,907.31,29.47494859,907.3,9
907.3,907.31,29.47494859,907.3,24.7
907.3,907.31,29.47494859,907.3,24.7
907.31,907.31,29.45893977,907.3,24.7
907.3,907.31,29.45893977,907.3,17.25
907.3,907.31,29.45893977,907.3,17.25
907.3,907.31,29.45893977,907.3,17.25
907.3,907.31,21.46893977,907.3,17.25
907.3,907.31,21.46893977,907.3,19.01
907.3,907.31,21.46893977,907.3,17.25
907.3,907.31,29.45893977,907.3,17.25
907.3,907.31,49.45893977,907.3,17.25
907.31,907.31,48.77679593,907.3,17.25
907.31,907.31,48.09465209,907.3,17.25
907.31,907.31,68.09465209,907.3,17.25
907.31,907.31,68.09465209,907.3,17.25
907.31,907.31,68.09465209,907.3,17.25
